id,ime,leto,zmage doma,porazi doma,zmage v gosteh,porazi v gosteh,zmage nevtralno,porazi nevtralno,zmage <= 3,porazi <= 3,zmage >= 10,porazi >= 10
SAC,Sacramento Kings,2016,18,23,15,26,,,8,4,11,19
NYK,New York Knicks,2016,18,23,14,27,,,4,7,14,23
NOP,New Orleans Pelicans,2016,21,20,9,32,,,5,5,11,23
MIN,Minnesota Timberwolves,2016,14,27,15,26,,,7,7,9,23
PHO,Phoenix Suns,2016,14,27,9,32,,,4,5,10,32
BRK,Brooklyn Nets,2016,14,27,7,34,,,7,4,6,34
LAL,Los Angeles Lakers,2016,12,29,5,36,,,2,7,4,44
PHI,Philadelphia 76ers,2016,7,34,3,38,,,0,6,5,41
GSW,Golden State Warriors,2017,36,5,31,10,,,3,4,48,6
SAS,San Antonio Spurs,2017,31,10,30,11,,,8,5,30,8
HOU,Houston Rockets,2017,30,11,25,16,,,8,3,30,11
BOS,Boston Celtics,2017,30,11,23,18,,,7,6,17,11
CLE,Cleveland Cavaliers,2017,31,10,20,21,,,3,4,25,15
LAC,Los Angeles Clippers,2017,29,12,22,19,,,3,6,33,14
TOR,Toronto Raptors,2017,28,13,23,18,,,8,7,26,8
UTA,Utah Jazz,2017,29,12,22,19,,,4,4,23,10
WAS,Washington Wizards,2017,30,11,19,22,,,9,6,18,12
OKC,Oklahoma City Thunder,2017,28,13,19,22,,,12,7,23,21
ATL,Atlanta Hawks,2017,23,18,20,21,,,7,8,17,21
MEM,Memphis Grizzlies,2017,24,17,19,22,,,7,5,17,20
IND,Indiana Pacers,2017,29,12,13,28,,,4,2,23,19
MIL,Milwaukee Bucks,2017,23,18,19,22,,,8,2,21,22
CHI,Chicago Bulls,2017,25,16,16,25,,,5,6,17,23
POR,Portland Trail Blazers,2017,25,16,16,25,,,7,11,18,16
MIA,Miami Heat,2017,23,18,18,23,,,8,6,19,13
DEN,Denver Nuggets,2017,22,19,18,23,,,5,10,24,19
DET,Detroit Pistons,2017,24,17,13,28,,,5,7,23,26
CHO,Charlotte Hornets,2017,22,19,14,27,,,0,9,19,18
NOP,New Orleans Pelicans,2017,21,20,13,28,,,7,6,17,22
DAL,Dallas Mavericks,2017,21,20,12,29,,,4,6,14,26
SAC,Sacramento Kings,2017,17,24,15,26,,,10,6,9,27
MIN,Minnesota Timberwolves,2017,20,21,11,30,,,7,10,18,19
NYK,New York Knicks,2017,19,22,12,29,,,7,10,10,25
ORL,Orlando Magic,2017,16,25,13,28,,,5,5,10,32
PHI,Philadelphia 76ers,2017,17,24,11,30,,,9,8,7,29
LAL,Los Angeles Lakers,2017,17,24,9,32,,,2,4,14,31
PHO,Phoenix Suns,2017,15,26,9,32,,,9,5,7,32
BRK,Brooklyn Nets,2017,13,28,7,34,,,3,6,9,30
HOU,Houston Rockets,2018,34,7,31,10,,,5,3,38,8
TOR,Toronto Raptors,2018,34,7,25,16,,,5,7,33,5
GSW,Golden State Warriors,2018,29,12,29,12,,,5,1,38,13
BOS,Boston Celtics,2018,27,14,28,13,,,11,8,25,9
PHI,Philadelphia 76ers,2018,30,11,22,19,,,4,7,31,11
CLE,Cleveland Cavaliers,2018,29,12,21,20,,,8,5,17,20
POR,Portland Trail Blazers,2018,28,13,21,20,,,8,8,20,12
IND,Indiana Pacers,2018,27,14,21,20,,,11,2,20,16
NOP,New Orleans Pelicans,2018,24,17,24,17,,,7,3,19,16
OKC,Oklahoma City Thunder,2018,27,14,21,20,,,8,10,24,11
UTA,Utah Jazz,2018,28,13,20,21,,,4,5,31,19
MIN,Minnesota Timberwolves,2018,30,11,17,24,,,7,7,25,12
SAS,San Antonio Spurs,2018,33,8,14,27,,,8,10,25,17
DEN,Denver Nuggets,2018,31,10,15,26,,,10,5,21,15
MIA,Miami Heat,2018,26,15,18,23,,,9,9,16,13
MIL,Milwaukee Bucks,2018,25,16,19,22,,,7,4,14,16
WAS,Washington Wizards,2018,23,18,20,21,,,5,7,22,12
LAC,Los Angeles Clippers,2018,22,19,20,21,,,8,2,22,19
DET,Detroit Pistons,2018,25,16,14,27,,,4,7,19,23
CHO,Charlotte Hornets,2018,21,20,15,26,,,1,5,23,23
LAL,Los Angeles Lakers,2018,20,21,15,26,,,6,7,18,21
NYK,New York Knicks,2018,19,22,10,31,,,2,7,15,30
BRK,Brooklyn Nets,2018,15,26,13,28,,,5,7,9,27
CHI,Chicago Bulls,2018,17,24,10,31,,,9,5,6,30
SAC,Sacramento Kings,2018,14,27,13,28,,,6,5,5,32
ORL,Orlando Magic,2018,17,24,8,33,,,3,5,10,27
ATL,Atlanta Hawks,2018,16,25,8,33,,,6,8,8,35
DAL,Dallas Mavericks,2018,15,26,9,32,,,2,9,11,20
MEM,Memphis Grizzlies,2018,16,25,6,35,,,5,12,8,26
PHO,Phoenix Suns,2018,10,31,11,30,,,6,5,5,40
MIL,Milwaukee Bucks,2019,33,8,27,14,,,5,6,45,5
TOR,Toronto Raptors,2019,32,9,26,15,,,11,7,33,9
GSW,Golden State Warriors,2019,30,11,27,14,,,7,7,34,10
DEN,Denver Nuggets,2019,34,7,20,21,,,13,3,23,11
HOU,Houston Rockets,2019,31,10,22,19,,,5,7,29,12
POR,Portland Trail Blazers,2019,32,9,21,20,,,4,6,29,8
PHI,Philadelphia 76ers,2019,31,10,20,21,,,10,8,22,16
UTA,Utah Jazz,2019,29,12,21,20,,,0,7,34,12
BOS,Boston Celtics,2019,28,13,21,20,,,5,6,24,12
OKC,Oklahoma City Thunder,2019,27,14,22,19,,,6,7,23,12
IND,Indiana Pacers,2019,29,12,19,22,,,6,6,23,16
LAC,Los Angeles Clippers,2019,26,15,22,19,,,6,2,23,18
SAS,San Antonio Spurs,2019,32,9,16,25,,,7,4,25,16
BRK,Brooklyn Nets,2019,23,18,19,22,,,12,8,16,22
ORL,Orlando Magic,2019,25,16,17,24,,,5,6,21,21
DET,Detroit Pistons,2019,26,15,15,26,,,6,9,16,21
CHO,Charlotte Hornets,2019,25,16,14,27,,,6,10,21,20
MIA,Miami Heat,2019,19,22,20,21,,,6,9,16,20
SAC,Sacramento Kings,2019,24,17,15,26,,,6,7,16,18
LAL,Los Angeles Lakers,2019,22,19,15,26,,,5,4,16,25
MIN,Minnesota Timberwolves,2019,25,16,11,30,,,8,5,19,22
DAL,Dallas Mavericks,2019,24,17,9,32,,,7,7,12,22
MEM,Memphis Grizzlies,2019,21,20,12,29,,,6,9,14,19
NOP,New Orleans Pelicans,2019,19,22,14,27,,,4,6,15,20
WAS,Washington Wizards,2019,22,19,10,31,,,5,6,14,23
ATL,Atlanta Hawks,2019,17,24,12,29,,,9,6,7,31
CHI,Chicago Bulls,2019,9,32,13,28,,,8,8,9,31
CLE,Cleveland Cavaliers,2019,13,28,6,35,,,5,4,6,43
PHO,Phoenix Suns,2019,12,29,7,34,,,5,5,5,40
NYK,New York Knicks,2019,9,32,8,33,,,4,7,6,41
MIL,Milwaukee Bucks,2020,30,5,26,12,,,3,2,38,8
TOR,Toronto Raptors,2020,26,10,27,9,,,6,4,23,10
LAL,Los Angeles Lakers,2020,25,10,27,9,,,7,3,25,11
LAC,Los Angeles Clippers,2020,27,9,22,14,,,8,3,32,8
BOS,Boston Celtics,2020,26,10,22,14,,,6,5,29,7
DEN,Denver Nuggets,2020,26,11,20,16,,,9,5,16,13
IND,Indiana Pacers,2020,25,11,20,17,,,5,7,20,12
HOU,Houston Rockets,2020,24,12,20,16,,,4,5,22,14
MIA,Miami Heat,2020,29,7,15,22,,,6,4,23,11
OKC,Oklahoma City Thunder,2020,23,14,21,14,,,8,6,18,10
UTA,Utah Jazz,2020,23,12,21,16,,,7,5,18,11
DAL,Dallas Mavericks,2020,20,18,23,14,,,2,11,23,9
PHI,Philadelphia 76ers,2020,31,4,12,26,,,6,5,19,15
BRK,Brooklyn Nets,2020,20,16,15,21,,,7,7,17,19
POR,Portland Trail Blazers,2020,21,15,14,24,,,9,3,17,18
MEM,Memphis Grizzlies,2020,20,17,14,22,,,3,4,18,21
PHO,Phoenix Suns,2020,17,22,17,17,,,4,8,15,18
ORL,Orlando Magic,2020,18,17,15,23,,,5,5,18,20
SAS,San Antonio Spurs,2020,19,15,13,24,,,10,7,10,12
SAC,Sacramento Kings,2020,16,19,15,22,,,6,8,12,18
NOP,New Orleans Pelicans,2020,15,21,15,21,,,2,6,18,15
WAS,Washington Wizards,2020,16,20,9,27,,,1,4,12,25
CHO,Charlotte Hornets,2020,10,21,13,21,,,9,8,5,25
CHI,Chicago Bulls,2020,14,20,8,23,,,6,6,7,19
NYK,New York Knicks,2020,11,22,10,23,,,7,6,8,21
ATL,Atlanta Hawks,2020,14,20,6,27,,,1,5,8,29
DET,Detroit Pistons,2020,11,22,9,24,,,4,6,9,26
CLE,Cleveland Cavaliers,2020,11,25,8,21,,,5,5,6,28
MIN,Minnesota Timberwolves,2020,8,24,11,21,,,3,4,10,21
GSW,Golden State Warriors,2020,8,26,7,24,,,1,3,8,30
UTA,Utah Jazz,2021,31,5,21,15,,,3,2,39,7
PHO,Phoenix Suns,2021,27,9,24,12,,,9,3,23,8
PHI,Philadelphia 76ers,2021,29,7,20,16,,,7,3,27,12
BRK,Brooklyn Nets,2021,28,8,20,16,,,3,5,24,11
DEN,Denver Nuggets,2021,25,11,22,14,,,6,4,29,11
LAC,Los Angeles Clippers,2021,26,10,21,15,,,3,4,31,7
MIL,Milwaukee Bucks,2021,26,10,20,16,,,6,5,29,12
DAL,Dallas Mavericks,2021,21,15,21,15,,,5,4,26,17
LAL,Los Angeles Lakers,2021,21,15,21,15,,,7,5,22,13
POR,Portland Trail Blazers,2021,20,16,22,14,,,10,9,19,12
ATL,Atlanta Hawks,2021,25,11,16,20,,,3,3,25,15
NYK,New York Knicks,2021,25,11,16,20,,,2,9,24,15
MIA,Miami Heat,2021,21,15,19,17,,,4,5,17,17
GSW,Golden State Warriors,2021,25,11,14,22,,,6,4,25,18
MEM,Memphis Grizzlies,2021,18,18,20,16,,,3,7,23,21
BOS,Boston Celtics,2021,21,15,15,21,,,7,5,17,12
WAS,Washington Wizards,2021,19,17,15,21,,,11,8,14,20
IND,Indiana Pacers,2021,13,23,21,15,,,5,4,15,17
CHO,Charlotte Hornets,2021,18,18,15,21,,,9,4,14,24
SAS,San Antonio Spurs,2021,14,22,19,17,,,7,8,18,20
CHI,Chicago Bulls,2021,15,21,16,20,,,3,5,16,20
NOP,New Orleans Pelicans,2021,18,18,13,23,,,3,10,13,21
SAC,Sacramento Kings,2021,16,20,15,21,,,10,5,12,22
TOR,Toronto Raptors,2021,16,20,11,25,,,3,6,17,19
MIN,Minnesota Timberwolves,2021,13,23,10,26,,,4,6,9,25
CLE,Cleveland Cavaliers,2021,13,23,9,27,,,4,2,11,37
OKC,Oklahoma City Thunder,2021,10,26,12,24,,,7,5,5,36
ORL,Orlando Magic,2021,11,25,10,26,,,3,5,6,35
DET,Detroit Pistons,2021,13,23,7,29,,,1,8,14,31
HOU,Houston Rockets,2021,9,27,8,28,,,3,4,8,37
PHO,Phoenix Suns,2022,32,9,32,9,,,6,2,37,9
MEM,Memphis Grizzlies,2022,30,11,26,15,,,5,3,33,17
GSW,Golden State Warriors,2022,31,10,22,19,,,6,5,34,10
MIA,Miami Heat,2022,29,12,24,17,,,3,6,31,15
DAL,Dallas Mavericks,2022,29,12,23,18,,,7,5,27,14
BOS,Boston Celtics,2022,28,13,23,18,,,3,9,35,9
MIL,Milwaukee Bucks,2022,27,14,24,17,,,4,2,31,15
PHI,Philadelphia 76ers,2022,24,17,27,14,,,6,6,28,11
UTA,Utah Jazz,2022,29,12,20,21,,,1,6,34,10
DEN,Denver Nuggets,2022,23,18,25,16,,,8,3,23,20
TOR,Toronto Raptors,2022,24,17,24,17,,,7,6,25,14
CHI,Chicago Bulls,2022,27,14,19,22,,,4,4,23,20
MIN,Minnesota Timberwolves,2022,26,15,20,21,,,4,4,28,21
BRK,Brooklyn Nets,2022,20,21,24,17,,,8,4,20,20
CLE,Cleveland Cavaliers,2022,25,16,19,22,,,10,4,22,19
ATL,Atlanta Hawks,2022,27,14,16,25,,,7,3,24,18
CHO,Charlotte Hornets,2022,22,19,21,20,,,6,8,24,23
LAC,Los Angeles Clippers,2022,25,16,17,24,,,10,5,20,21
NYK,New York Knicks,2022,17,24,20,21,,,5,6,19,23
NOP,New Orleans Pelicans,2022,19,22,17,24,,,4,3,23,30
WAS,Washington Wizards,2022,21,20,14,27,,,12,6,11,27
SAS,San Antonio Spurs,2022,16,25,18,23,,,6,5,19,24
LAL,Los Angeles Lakers,2022,21,20,12,29,,,5,7,13,22
SAC,Sacramento Kings,2022,16,25,14,27,,,7,8,11,30
POR,Portland Trail Blazers,2022,17,24,10,31,,,1,5,11,41
IND,Indiana Pacers,2022,16,25,9,32,,,3,14,14,19
OKC,Oklahoma City Thunder,2022,12,29,12,29,,,7,6,9,32
DET,Detroit Pistons,2022,13,28,10,31,,,7,6,6,33
ORL,Orlando Magic,2022,12,29,10,31,,,2,7,6,39
HOU,Houston Rockets,2022,11,30,9,32,,,3,9,9,44
MIL,Milwaukee Bucks,2023,32,9,26,15,,,6,1,30,15
BOS,Boston Celtics,2023,32,9,25,16,,,5,8,31,11
PHI,Philadelphia 76ers,2023,29,12,25,16,,,10,5,26,11
DEN,Denver Nuggets,2023,34,7,19,22,,,7,6,29,15
CLE,Cleveland Cavaliers,2023,31,10,20,21,,,5,8,33,11
MEM,Memphis Grizzlies,2023,35,6,16,25,,,3,6,31,17
SAC,Sacramento Kings,2023,23,18,25,16,,,9,7,19,13
NYK,New York Knicks,2023,23,18,24,17,,,10,4,23,13
BRK,Brooklyn Nets,2023,23,18,22,19,,,10,4,22,17
PHO,Phoenix Suns,2023,28,13,17,24,,,4,9,28,17
GSW,Golden State Warriors,2023,33,8,11,30,,,4,8,24,16
LAC,Los Angeles Clippers,2023,23,18,21,20,,,4,6,20,21
MIA,Miami Heat,2023,27,14,17,24,,,14,8,12,13
LAL,Los Angeles Lakers,2023,23,18,20,21,,,8,5,19,19
MIN,Minnesota Timberwolves,2023,22,19,20,21,,,6,7,15,16
NOP,New Orleans Pelicans,2023,27,14,15,26,,,4,6,25,20
ATL,Atlanta Hawks,2023,24,17,17,24,,,10,7,19,15
TOR,Toronto Raptors,2023,27,14,14,27,,,4,10,23,16
CHI,Chicago Bulls,2023,22,19,18,23,,,4,7,24,19
OKC,Oklahoma City Thunder,2023,24,17,16,25,,,7,7,21,15
DAL,Dallas Mavericks,2023,23,18,15,26,,,8,12,11,12
UTA,Utah Jazz,2023,23,18,14,27,,,10,8,13,16
IND,Indiana Pacers,2023,20,21,15,26,,,8,7,9,25
WAS,Washington Wizards,2023,19,22,16,25,,,7,6,19,21
ORL,Orlando Magic,2023,20,21,14,27,,,5,6,16,24
POR,Portland Trail Blazers,2023,17,24,16,25,,,8,7,18,28
CHO,Charlotte Hornets,2023,13,28,14,27,,,3,3,8,35
HOU,Houston Rockets,2023,14,27,8,33,,,5,4,6,36
SAS,San Antonio Spurs,2023,14,27,8,33,,,3,3,6,42
DET,Detroit Pistons,2023,9,32,8,33,,,2,8,6,37
BOS,Boston Celtics,2024,37,4,27,14,,,6,7,42,5
DEN,Denver Nuggets,2024,33,8,24,17,,,6,6,28,10
OKC,Oklahoma City Thunder,2024,33,8,24,17,,,6,3,32,10
MIN,Minnesota Timberwolves,2024,30,11,26,15,,,7,6,32,10
LAC,Los Angeles Clippers,2024,25,16,26,15,,,6,4,28,17
DAL,Dallas Mavericks,2024,25,16,25,16,,,5,2,31,21
NYK,New York Knicks,2024,27,14,23,18,,,4,3,32,16
MIL,Milwaukee Bucks,2024,31,11,18,22,,,4,6,25,16
NOP,New Orleans Pelicans,2024,21,19,28,14,,,1,7,32,18
PHO,Phoenix Suns,2024,25,16,24,17,,,8,6,29,14
CLE,Cleveland Cavaliers,2024,26,15,22,19,,,9,5,24,16
IND,Indiana Pacers,2024,26,15,21,20,,,6,5,30,16
LAL,Los Angeles Lakers,2024,28,14,19,21,,,11,4,20,25
ORL,Orlando Magic,2024,29,12,18,23,,,6,9,27,20
PHI,Philadelphia 76ers,2024,25,16,22,19,,,3,4,27,18
MIA,Miami Heat,2024,22,19,24,17,,,8,4,21,15
GSW,Golden State Warriors,2024,21,20,25,16,,,4,11,24,12
SAC,Sacramento Kings,2024,24,17,22,19,,,6,5,26,19
HOU,Houston Rockets,2024,27,14,14,27,,,8,5,23,17
CHI,Chicago Bulls,2024,20,21,19,22,,,6,8,12,25
ATL,Atlanta Hawks,2024,21,20,15,26,,,9,6,15,21
BRK,Brooklyn Nets,2024,20,21,12,29,,,4,6,17,28
UTA,Utah Jazz,2024,21,20,10,31,,,5,8,15,33
MEM,Memphis Grizzlies,2024,9,32,18,23,,,6,3,11,31
TOR,Toronto Raptors,2024,14,27,11,30,,,5,10,10,30
SAS,San Antonio Spurs,2024,12,29,10,31,,,5,7,12,31
CHO,Charlotte Hornets,2024,11,30,10,31,,,7,3,5,43
POR,Portland Trail Blazers,2024,11,30,10,31,,,5,6,5,38
WAS,Washington Wizards,2024,7,34,8,33,,,4,5,6,35
DET,Detroit Pistons,2024,7,33,7,35,,,1,7,8,39
OKC,Oklahoma City Thunder,2025,36,6,32,8,,,1,4,54,5
CLE,Cleveland Cavaliers,2025,34,7,30,11,,,5,4,41,7
BOS,Boston Celtics,2025,28,13,33,8,,,8,3,41,7
HOU,Houston Rockets,2025,29,12,23,18,,,8,5,26,12
NYK,New York Knicks,2025,27,14,24,17,,,7,3,31,19
DEN,Denver Nuggets,2025,26,15,24,17,,,8,6,31,17
IND,Indiana Pacers,2025,29,12,21,20,,,6,2,25,17
LAC,Los Angeles Clippers,2025,30,11,20,21,,,5,7,32,13
LAL,Los Angeles Lakers,2025,31,10,19,22,,,4,6,22,21
MIN,Minnesota Timberwolves,2025,25,16,24,17,,,11,11,31,9
GSW,Golden State Warriors,2025,24,17,24,17,,,6,6,26,15
MEM,Memphis Grizzlies,2025,26,15,22,19,,,9,6,31,15
MIL,Milwaukee Bucks,2025,28,14,20,20,,,5,9,25,19
DET,Detroit Pistons,2025,22,19,22,19,,,8,6,23,17
ORL,Orlando Magic,2025,22,19,19,22,,,4,7,22,20
ATL,Atlanta Hawks,2025,21,19,19,23,,,8,6,20,21
SAC,Sacramento Kings,2025,20,21,20,21,,,4,9,22,19
CHI,Chicago Bulls,2025,18,23,21,20,,,6,4,23,26
DAL,Dallas Mavericks,2025,22,18,17,25,,,5,8,17,24
MIA,Miami Heat,2025,19,22,18,23,,,3,11,22,18
PHO,Phoenix Suns,2025,24,17,12,29,,,7,5,13,26
POR,Portland Trail Blazers,2025,22,19,14,27,,,7,4,19,30
SAS,San Antonio Spurs,2025,20,21,14,27,,,7,7,17,32
TOR,Toronto Raptors,2025,18,23,12,29,,,7,9,16,28
BRK,Brooklyn Nets,2025,12,29,14,27,,,8,7,7,32
PHI,Philadelphia 76ers,2025,12,29,12,29,,,4,4,10,35
NOP,New Orleans Pelicans,2025,14,27,7,34,,,3,8,6,38
CHO,Charlotte Hornets,2025,12,29,7,34,,,8,7,5,39
WAS,Washington Wizards,2025,8,33,10,31,,,7,2,5,53
UTA,Utah Jazz,2025,10,31,7,34,,,5,8,8,37
OKC,Oklahoma City Thunder,2026,34,8,30,10,,,5,6,43,9
SAS,San Antonio Spurs,2026,32,8,30,12,,,8,5,43,8
DET,Detroit Pistons,2026,32,9,28,13,,,10,6,34,8
BOS,Boston Celtics,2026,30,11,26,15,,,5,7,38,10
DEN,Denver Nuggets,2026,28,13,26,15,,,9,11,28,9
LAL,Los Angeles Lakers,2026,28,13,25,16,,,8,3,28,21
NYK,New York Knicks,2026,30,10,23,19,,,9,4,32,19
CLE,Cleveland Cavaliers,2026,27,14,25,16,,,2,5,27,17
HOU,Houston Rockets,2026,30,11,22,19,,,5,9,27,11
MIN,Minnesota Timberwolves,2026,26,15,23,18,,,6,4,28,18
ATL,Atlanta Hawks,2026,24,17,22,19,,,7,8,33,19
TOR,Toronto Raptors,2026,24,17,22,19,,,7,4,33,23
ORL,Orlando Magic,2026,26,16,19,21,,,11,5,19,19
PHI,Philadelphia 76ers,2026,23,18,22,19,,,6,8,26,20
PHO,Phoenix Suns,2026,25,16,20,21,,,7,10,25,17
CHO,Charlotte Hornets,2026,21,20,23,18,,,3,6,32,19
MIA,Miami Heat,2026,26,15,17,24,,,6,4,29,23
POR,Portland Trail Blazers,2026,24,17,18,23,,,6,5,23,18
LAC,Los Angeles Clippers,2026,23,18,19,22,,,7,8,25,23
GSW,Golden State Warriors,2026,22,19,15,26,,,5,6,20,23
MIL,Milwaukee Bucks,2026,19,22,13,28,,,6,6,19,33
CHI,Chicago Bulls,2026,18,23,13,28,,,10,6,13,33
DAL,Dallas Mavericks,2026,16,25,10,31,,,5,7,9,30
NOP,New Orleans Pelicans,2026,17,24,9,32,,,2,5,15,25
MEM,Memphis Grizzlies,2026,14,27,11,30,,,3,5,9,32
SAC,Sacramento Kings,2026,15,26,7,34,,,3,4,6,40
UTA,Utah Jazz,2026,14,27,8,33,,,5,8,9,41
BRK,Brooklyn Nets,2026,12,29,8,33,,,2,4,12,43
IND,Indiana Pacers,2026,11,30,8,33,,,7,6,7,38
WAS,Washington Wizards,2026,11,30,6,35,,,2,2,8,51
