id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
SAS,San Antonio Spurs,1990,19730,54,226,3334,6771,1888,2535,1163,2474,2037,799,554,1399,1854
MIL,Milwaukee Bucks,1990,19830,209,670,3171,6476,1722,2273,1108,2246,2046,826,326,1315,2086
DET,Detroit Pistons,1990,19805,177,541,3156,6439,1713,2252,1185,2458,1996,512,418,1233,1961
LAC,Los Angeles Clippers,1990,19805,56,230,3263,6623,1815,2458,1056,2362,1978,782,507,1547,1859
CLE,Cleveland Cavaliers,1990,19880,346,851,2868,6126,1637,2201,1128,2380,2106,645,512,1243,1666
DAL,Dallas Mavericks,1990,19855,157,486,3089,6345,1735,2261,1042,2419,1776,664,398,1228,1733
SAC,Sacramento Kings,1990,19755,216,649,3089,6407,1515,1964,952,2363,2052,546,392,1239,1863
MIA,Miami Heat,1990,19730,88,300,3295,7045,1393,2028,1242,2313,1957,736,388,1557,2123
CHH,Charlotte Hornets,1990,19755,205,611,3065,6572,1487,1967,962,2211,2080,778,262,1226,1889
NJN,New Jersey Nets,1990,19705,140,506,3017,6909,1754,2350,1363,2324,1475,774,481,1360,1952
MIN,Minnesota Timberwolves,1990,19855,73,294,2994,6582,1596,2137,1196,2053,1844,789,344,1197,1901
DEN,Denver Nuggets,1991,19730,300,1059,3601,7809,1726,2263,1520,2530,2005,856,406,1332,2235
GSW,Golden State Warriors,1991,19805,270,801,3296,6545,2162,2761,1113,2306,1954,803,378,1359,2207
POR,Portland Trail Blazers,1991,19905,341,904,3236,6465,1912,2538,1202,2561,2254,724,410,1309,1975
PHO,Phoenix Suns,1991,19730,138,432,3435,6767,2064,2680,1132,2598,2209,687,535,1302,1850
IND,Indiana Pacers,1991,19805,249,749,3201,6245,2010,2479,1018,2376,2181,658,357,1355,2088
BOS,Boston Celtics,1991,19805,109,346,3586,6868,1646,1997,1088,2697,2160,672,565,1320,1695
CHI,Chicago Bulls,1991,19755,155,424,3477,6701,1605,2111,1148,2342,2212,822,438,1184,1751
ATL,Atlanta Hawks,1991,19755,271,836,3078,6387,2034,2544,1235,2420,1864,729,374,1231,1768
SAS,San Antonio Spurs,1991,19830,81,297,3328,6691,1883,2459,1131,2657,2140,670,571,1445,1896
HOU,Houston Rockets,1991,19855,316,989,3087,6298,1631,2200,1275,2508,1906,796,409,1402,1874
SEA,Seattle SuperSonics,1991,19880,136,427,3364,6690,1608,2143,1222,2173,2042,861,380,1404,1973
MIL,Milwaukee Bucks,1991,19855,257,753,3080,6195,1796,2241,1079,2162,2075,894,330,1321,2033
LAL,Los Angeles Lakers,1991,19830,226,744,3117,6167,1805,2261,1078,2440,2091,642,384,1203,1524
ORL,Orlando Magic,1991,19780,270,754,3028,6502,1818,2447,1233,2429,1809,602,306,1391,1976
PHI,Philadelphia 76ers,1991,20080,195,618,3094,6307,1868,2366,984,2496,1824,678,479,1230,1629
UTA,Utah Jazz,1991,19780,148,458,3066,6079,1951,2472,867,2474,2217,652,451,1305,1796
LAC,Los Angeles Clippers,1991,19805,113,434,3278,6881,1596,2273,1246,2500,2119,725,507,1438,2043
NYK,New York Knicks,1991,19955,185,558,3123,6264,1654,2147,1053,2436,2172,638,418,1379,1764
NJN,New Jersey Nets,1991,19830,161,586,3150,6873,1658,2245,1400,2348,1782,748,600,1423,1954
CHH,Charlotte Hornets,1991,19805,131,417,3155,6616,1725,2214,1027,2200,2019,759,304,1290,1946
MIA,Miami Heat,1991,19780,140,464,3140,6675,1649,2307,1232,2302,1904,756,387,1551,2080
CLE,Cleveland Cavaliers,1991,19830,160,479,3099,6378,1665,2176,1011,2329,2240,643,450,1281,1672
WSB,Washington Bullets,1991,19855,55,284,3335,6984,1478,2028,1173,2390,2081,588,468,1359,1927
DET,Detroit Pistons,1991,19805,131,440,3063,6435,1686,2211,1206,2452,1825,487,367,1181,1869
DAL,Dallas Mavericks,1991,19805,193,600,3052,6290,1512,1986,984,2360,1821,581,397,1186,1840
MIN,Minnesota Timberwolves,1991,19905,108,381,3157,6895,1531,2082,1275,2113,1885,712,440,1062,1864
SAC,Sacramento Kings,1991,19705,216,578,2870,6240,1540,2105,1027,2218,1991,631,513,1272,2075
GSW,Golden State Warriors,1992,19880,254,763,3513,6664,1944,2606,1137,2376,2064,854,375,1353,2049
IND,Indiana Pacers,1992,19955,333,940,3165,6139,1868,2364,1083,2564,2398,705,393,1402,2137
PHO,Phoenix Suns,1992,19805,227,596,3326,6623,1861,2397,1088,2558,2202,673,582,1243,1852
POR,Portland Trail Blazers,1992,19880,325,944,3151,6408,1858,2463,1294,2549,2065,753,410,1328,1983
CHI,Chicago Bulls,1992,19830,138,454,3505,6714,1587,2132,1173,2439,2279,672,480,1088,1693
CHH,Charlotte Hornets,1992,19805,117,369,3496,7199,1637,2168,1164,2367,2284,822,309,1273,1819
CLE,Cleveland Cavaliers,1992,19805,253,708,3174,6317,1819,2259,1041,2450,2260,616,621,1073,1556
UTA,Utah Jazz,1992,19880,158,458,3221,6408,1961,2490,1097,2543,2188,715,448,1264,1746
BOS,Boston Celtics,1992,19780,110,359,3433,6837,1549,1917,1095,2583,2072,636,484,1165,1686
SEA,Seattle SuperSonics,1992,19855,205,647,3175,6481,1772,2263,1282,2257,1877,775,448,1323,1952
ATL,Atlanta Hawks,1992,19905,210,671,3282,6805,1517,2074,1288,2498,2123,793,320,1255,1771
NJN,New Jersey Nets,1992,19780,224,670,3249,6910,1471,2009,1512,2392,1937,736,615,1392,1834
MIL,Milwaukee Bucks,1992,19880,371,1005,2950,6211,1596,2104,1297,2172,2018,863,317,1350,1904
MIA,Miami Heat,1992,19830,257,751,2999,6310,1839,2329,1187,2366,1749,670,373,1377,1819
SAC,Sacramento Kings,1992,19830,238,675,3110,6514,1615,2162,1054,2354,1957,727,618,1360,1763
SAS,San Antonio Spurs,1992,19780,118,404,3259,6686,1652,2246,1229,2552,2010,729,608,1308,1799
LAC,Los Angeles Clippers,1992,19830,145,502,3202,6574,1601,2223,1132,2393,2053,824,498,1269,1873
WSB,Washington Bullets,1992,19855,146,537,3218,6764,1521,1956,1069,2345,2011,713,422,1254,1852
HOU,Houston Rockets,1992,19880,329,959,2944,5935,1491,2020,1074,2432,2058,656,571,1378,1769
PHI,Philadelphia 76ers,1992,19755,227,680,2960,6081,1757,2267,1058,2309,1755,692,482,1238,1582
ORL,Orlando Magic,1992,19705,197,608,3023,6494,1693,2268,1171,2329,1792,643,367,1390,1977
NYK,New York Knicks,1992,19855,201,618,3111,6329,1503,2049,1185,2489,2130,634,382,1242,1905
MIN,Minnesota Timberwolves,1992,19805,126,394,3240,6948,1379,1857,1167,2168,2025,619,526,1157,1866
LAL,Los Angeles Lakers,1992,19830,119,445,3064,6532,1744,2278,1156,2196,1803,756,400,1089,1543
DEN,Denver Nuggets,1992,19780,126,418,3136,6962,1526,2067,1350,2352,1553,773,461,1447,1984
DET,Detroit Pistons,1992,19780,165,526,3026,6341,1566,2108,1210,2421,1899,546,357,1212,1646
DAL,Dallas Mavericks,1992,19755,268,797,2852,6307,1499,1999,1194,2439,1630,536,349,1202,1867
PHO,Phoenix Suns,1993,19730,398,1095,3096,5998,1912,2539,1141,2510,2087,752,455,1359,1739
CHH,Charlotte Hornets,1993,19755,175,537,3337,6673,1831,2374,1095,2508,2161,639,473,1325,1790
GSW,Golden State Warriors,1993,19905,298,852,3176,6360,1768,2465,1219,2384,2010,693,383,1451,2056
POR,Portland Trail Blazers,1993,19905,275,843,3086,6500,1901,2551,1226,2507,1969,770,425,1215,1892
SEA,Seattle SuperSonics,1993,19780,218,610,3255,6530,1720,2259,1222,2254,1906,944,409,1267,1971
SAC,Sacramento Kings,1993,19780,262,788,3098,6476,1865,2447,1137,2281,2075,768,348,1364,2085
IND,Indiana Pacers,1993,19755,257,789,3114,6233,1837,2399,1220,2455,2144,615,403,1256,2045
CLE,Cleveland Cavaliers,1993,19830,283,742,3142,6145,1699,2119,929,2496,2349,615,536,1120,1580
ATL,Atlanta Hawks,1993,19830,382,1076,3010,6196,1648,2221,1290,2344,2084,806,278,1339,1807
LAC,Los Angeles Clippers,1993,19805,133,491,3411,6838,1562,2177,1183,2360,2242,847,491,1338,1920
UTA,Utah Jazz,1993,19755,130,414,3206,6414,1907,2491,1041,2463,2177,746,344,1270,1965
ORL,Orlando Magic,1993,19880,317,889,2940,5819,1821,2495,1040,2566,1952,542,467,1429,1925
SAS,San Antonio Spurs,1993,19855,236,692,3075,6070,1794,2346,919,2542,2012,582,514,1227,1844
DEN,Denver Nuggets,1993,19830,138,454,3214,6828,1784,2360,1266,2564,1735,651,565,1413,2039
CHI,Chicago Bulls,1993,19830,244,669,3231,6536,1431,1952,1290,2283,2133,783,410,1103,1804
PHI,Philadelphia 76ers,1993,19930,330,941,2895,6134,1776,2259,1031,2431,2038,672,566,1362,1604
LAL,Los Angeles Lakers,1993,19830,187,626,3122,6368,1741,2304,1103,2288,2013,782,431,1266,1778
HOU,Houston Rockets,1993,19780,387,1073,2893,5671,1584,2090,985,2532,2115,682,543,1295,1699
BOS,Boston Celtics,1993,19780,110,383,3343,6710,1486,1912,1076,2436,1999,647,458,1174,1862
MIA,Miami Heat,1993,20005,333,940,2794,5910,1908,2476,1134,2384,1688,609,350,1287,2011
NJN,New Jersey Nets,1993,19780,155,488,3117,6596,1732,2258,1291,2506,1872,693,526,1355,1892
MIL,Milwaukee Bucks,1993,19730,312,936,2956,5988,1544,2081,1050,2113,2084,863,393,1363,1978
WSB,Washington Bullets,1993,19805,174,578,3128,6487,1575,2107,1031,2317,2110,673,359,1323,1795
NYK,New York Knicks,1993,19930,193,604,3016,6294,1717,2316,1150,2660,2125,680,372,1296,2111
DET,Detroit Pistons,1993,19780,292,908,2975,6303,1426,1957,1293,2315,1941,580,249,1152,1747
DAL,Dallas Mavericks,1993,19730,283,837,2881,6434,1530,2171,1234,2265,1683,649,355,1459,2302
MIN,Minnesota Timberwolves,1993,19855,166,569,2877,5960,1794,2247,940,2204,2001,649,455,1422,2028
PHO,Phoenix Suns,1994,19705,344,1042,3085,6038,1674,2301,1220,2453,2261,745,460,1305,1639
GSW,Golden State Warriors,1994,19780,291,859,3221,6286,1529,2304,1183,2396,2198,804,511,1433,1789
POR,Portland Trail Blazers,1994,19755,272,770,3099,6657,1781,2396,1302,2460,2070,744,409,1210,1827
CHH,Charlotte Hornets,1994,19830,336,916,3046,6184,1632,2135,1019,2475,2214,724,394,1266,1747
SEA,Seattle SuperSonics,1994,19730,242,722,3096,6179,1769,2374,1148,2233,2112,1053,365,1262,1914
ORL,Orlando Magic,1994,19730,394,1137,2947,5746,1590,2346,1177,2356,2070,683,456,1327,1713
MIA,Miami Heat,1994,19805,337,997,2860,5899,1744,2223,1235,2407,1856,643,374,1315,2024
NJN,New Jersey Nets,1994,19830,223,683,2946,6432,1900,2495,1300,2556,1900,696,576,1196,1693
LAC,Los Angeles Clippers,1994,19780,252,831,3091,6332,1509,2128,1120,2410,2169,807,421,1474,1769
UTA,Utah Jazz,1994,19830,179,559,3028,6170,1761,2379,1059,2385,2179,751,364,1191,1988
ATL,Atlanta Hawks,1994,19755,268,830,2979,6209,1556,2070,1250,2423,2056,915,449,1252,1625
CLE,Cleveland Cavaliers,1994,19855,294,813,2839,5918,1736,2254,1090,2353,2049,705,426,1136,1701
HOU,Houston Rockets,1994,19780,429,1285,2768,5448,1469,1978,926,2619,2087,717,485,1338,1646
SAC,Sacramento Kings,1994,19755,257,729,2922,6298,1676,2292,1122,2349,2029,669,355,1333,1979
IND,Indiana Pacers,1994,19755,184,500,2983,6016,1762,2387,1130,2409,2055,706,457,1440,1974
BOS,Boston Celtics,1994,19905,138,477,3195,6580,1463,2003,1037,2380,1928,674,440,1242,1849
LAL,Los Angeles Lakers,1994,19755,241,803,3050,6513,1410,1967,1260,2204,1983,751,461,1197,1877
WSB,Washington Bullets,1994,19705,221,744,2974,6082,1618,2162,1071,2189,1823,701,321,1403,1715
DEN,Denver Nuggets,1994,19755,170,597,2986,6184,1739,2423,1105,2557,1763,679,686,1422,1926
SAS,San Antonio Spurs,1994,19780,249,714,2929,5974,1597,2151,1189,2597,1896,561,450,1198,1662
NYK,New York Knicks,1994,19755,316,908,2782,5827,1564,2097,1175,2542,2067,752,385,1360,2001
PHI,Philadelphia 76ers,1994,19805,318,942,2785,5877,1509,2112,1012,2394,1827,663,525,1368,1488
CHI,Chicago Bulls,1994,19780,233,659,3012,6156,1310,1859,1143,2391,2102,740,354,1306,1750
MIL,Milwaukee Bucks,1994,19705,331,1019,2713,5788,1530,2181,1126,2154,1946,800,407,1343,1821
DET,Detroit Pistons,1994,19730,358,1041,2811,5976,1253,1715,1027,2320,1767,602,309,1236,1935
MIN,Minnesota Timberwolves,1994,19730,183,557,2802,5978,1777,2303,990,2343,1967,600,440,1478,2016
DAL,Dallas Mavericks,1994,19730,241,773,2814,6297,1450,1942,1271,2150,1629,767,299,1393,2007
ORL,Orlando Magic,1995,19930,523,1412,2937,5487,1648,2465,1149,2457,2281,672,488,1297,1726
PHO,Phoenix Suns,1995,19830,584,1584,2772,5383,1777,2352,1027,2403,2198,687,312,1167,1839
SEA,Seattle SuperSonics,1995,19830,491,1305,2819,5436,1944,2564,1068,2337,2115,917,392,1295,2067
SAS,San Antonio Spurs,1995,19855,434,1158,2802,5529,1836,2487,1029,2661,1919,656,456,1246,1871
UTA,Utah Jazz,1995,19780,301,801,2942,5538,1939,2483,874,2412,2256,758,392,1289,2045
GSW,Golden State Warriors,1995,19905,546,1602,2671,5271,1687,2395,1101,2371,2017,649,391,1497,1804
LAL,Los Angeles Lakers,1995,19905,525,1492,2759,5596,1523,2072,1126,2316,2078,750,563,1243,1933
HOU,Houston Rockets,1995,19730,646,1757,2513,4822,1527,2039,880,2440,2060,721,514,1322,1714
DAL,Dallas Mavericks,1995,19930,386,1200,2841,6142,1622,2210,1514,2433,1941,579,348,1345,1811
POR,Portland Trail Blazers,1995,19705,462,1266,2755,5868,1555,2230,1352,2443,1846,668,467,1212,2024
BOS,Boston Celtics,1995,19805,362,984,2817,5863,1708,2268,1156,2320,1783,612,361,1305,1975
CHI,Chicago Bulls,1995,19830,443,1187,2748,5523,1500,2065,1106,2294,1970,797,352,1297,1962
DEN,Denver Nuggets,1995,19980,413,1160,2685,5301,1700,2305,1040,2402,1836,660,585,1381,2063
MIA,Miami Heat,1995,19805,436,1182,2708,5556,1569,2133,1092,2272,1779,662,298,1291,2000
CHH,Charlotte Hornets,1995,19805,560,1409,2491,5029,1587,2042,832,2395,2072,620,399,1224,1685
WSB,Washington Bullets,1995,19855,433,1264,2743,5635,1457,2013,1044,2219,1749,648,404,1301,1949
MIL,Milwaukee Bucks,1995,19855,494,1349,2528,5237,1608,2259,1063,2187,1737,674,359,1393,1858
IND,Indiana Pacers,1995,19780,374,985,2609,5263,1796,2390,1051,2290,1877,703,363,1340,1939
SAC,Sacramento Kings,1995,19855,359,1037,2666,5426,1647,2317,1073,2325,1824,650,457,1449,2040
NYK,New York Knicks,1995,19780,532,1446,2453,4948,1552,2114,929,2473,2055,591,387,1305,2102
DET,Detroit Pistons,1995,19730,494,1396,2566,5237,1439,1941,958,2204,1872,705,420,1318,2151
NJN,New Jersey Nets,1995,19880,414,1297,2525,5441,1750,2305,1213,2569,1884,544,548,1300,1844
LAC,Los Angeles Clippers,1995,19880,331,1051,2729,5837,1476,2079,1064,2076,1805,787,435,1334,2152
ATL,Atlanta Hawks,1995,19855,539,1580,2447,5100,1410,1948,1104,2272,1757,738,412,1221,1804
PHI,Philadelphia 76ers,1995,19805,355,936,2594,5641,1567,2125,1105,2230,1566,643,576,1355,1835
MIN,Minnesota Timberwolves,1995,19780,318,1016,2474,5203,1824,2355,883,2090,1780,609,402,1400,2074
CLE,Cleveland Cavaliers,1995,19930,398,1033,2358,5222,1507,1982,1045,2237,1672,630,349,1176,1694
CHI,Chicago Bulls,1996,19730,544,1349,2749,5543,1495,2004,1247,2411,2033,745,345,1175,1807
SEA,Seattle SuperSonics,1996,19880,581,1596,2493,4805,1843,2424,954,2449,1999,882,393,1441,1967
ORL,Orlando Magic,1996,19855,622,1645,2581,4995,1543,2232,966,2401,2080,663,406,1160,1709
PHO,Phoenix Suns,1996,19955,327,984,2832,5689,1907,2472,1009,2501,2001,623,331,1207,1776
BOS,Boston Celtics,1996,19905,539,1453,2624,5489,1630,2284,1050,2427,1792,653,406,1302,2041
SAS,San Antonio Spurs,1996,19780,518,1320,2630,5282,1663,2261,937,2586,2044,645,536,1195,1820
LAL,Los Angeles Lakers,1996,19680,477,1359,2739,5347,1529,2049,995,2303,2080,722,516,1163,1702
CHH,Charlotte Hornets,1996,19880,584,1520,2524,5098,1631,2119,987,2256,1907,582,277,1241,1815
DAL,Dallas Mavericks,1996,19930,735,2039,2389,5392,1426,1975,1408,2379,1913,642,342,1270,1836
WSB,Washington Bullets,1996,19805,493,1212,2709,5406,1511,2076,930,2327,1815,592,506,1327,1981
HOU,Houston Rockets,1996,19805,637,1761,2441,4877,1611,2106,919,2455,1982,645,476,1245,1753
UTA,Utah Jazz,1996,19780,377,1013,2752,5404,1769,2302,993,2373,2139,667,418,1215,2046
GSW,Golden State Warriors,1996,19755,447,1199,2609,5501,1775,2340,1173,2285,1889,706,470,1343,1835
SAC,Sacramento Kings,1996,19755,462,1194,2509,5300,1759,2407,1114,2345,1829,643,436,1442,2131
LAC,Los Angeles Clippers,1996,19730,509,1374,2617,5244,1392,1984,979,2190,1672,703,411,1355,2008
POR,Portland Trail Blazers,1996,19905,480,1358,2584,5330,1537,2321,1160,2577,1760,594,417,1377,1859
IND,Indiana Pacers,1996,19755,363,973,2616,5232,1823,2416,1010,2262,1917,579,323,1335,2031
ATL,Atlanta Hawks,1996,19730,566,1595,2419,5070,1523,2012,1182,2148,1609,771,319,1228,1714
MIN,Minnesota Timberwolves,1996,19780,279,857,2695,5624,1797,2314,985,2271,1867,650,481,1426,1994
DEN,Denver Nuggets,1996,19830,397,1148,2604,5509,1614,2173,1057,2487,1851,521,597,1265,1882
TOR,Toronto Raptors,1996,19830,414,1168,2670,5430,1412,1953,1071,2213,1927,745,493,1544,1987
NYK,New York Knicks,1996,19830,485,1285,2518,5097,1480,1954,829,2449,1822,645,377,1272,1864
MIA,Miami Heat,1996,19780,552,1458,2350,4890,1553,2187,999,2495,1752,574,439,1394,2158
MIL,Milwaukee Bucks,1996,19730,357,1056,2677,5434,1412,1914,973,2164,1755,582,307,1295,1943
DET,Detroit Pistons,1996,19830,545,1350,2265,4772,1657,2206,884,2440,1610,506,352,1215,1953
PHI,Philadelphia 76ers,1996,19730,492,1438,2304,4980,1662,2263,1031,2161,1629,643,420,1414,1777
NJN,New Jersey Nets,1996,19905,250,746,2631,6004,1672,2244,1350,2503,1752,627,571,1375,1880
CLE,Cleveland Cavaliers,1996,19830,596,1582,2165,4416,1355,1775,867,2055,1818,674,340,1073,1685
VAN,Vancouver Grizzlies,1996,19880,372,1129,2400,5354,1446,1998,957,2170,1706,728,333,1347,1852
CHI,Chicago Bulls,1997,19730,523,1403,2754,5520,1381,1848,1235,2461,2142,716,332,1109,1617
UTA,Utah Jazz,1997,19830,334,902,2797,5315,1858,2416,889,2410,2199,748,418,1259,1981
PHO,Phoenix Suns,1997,19855,527,1428,2616,5277,1618,2125,916,2376,2067,664,322,1180,1727
SEA,Seattle SuperSonics,1997,19780,559,1583,2436,4832,1725,2295,1010,2271,1931,904,388,1231,1803
BOS,Boston Celtics,1997,19905,467,1331,2599,5636,1649,2199,1095,2188,1792,810,315,1342,1915
HOU,Houston Rockets,1997,19855,671,1839,2366,4645,1503,1992,927,2565,2013,685,347,1365,1610
PHI,Philadelphia 76ers,1997,19780,433,1356,2570,5494,1776,2450,1267,2355,1695,683,394,1437,1733
LAL,Los Angeles Lakers,1997,19930,551,1500,2467,5142,1613,2330,1092,2414,1845,740,575,1222,1818
GSW,Golden State Warriors,1997,19905,481,1363,2516,5204,1696,2180,1086,2259,1822,611,359,1410,1787
WSB,Washington Bullets,1997,19855,331,1001,2877,5677,1400,1979,1010,2420,1921,712,402,1289,1815
POR,Portland Trail Blazers,1997,19855,501,1401,2499,5064,1613,2261,1058,2494,1710,640,435,1357,1928
CHH,Charlotte Hornets,1997,19805,591,1382,2397,4960,1541,1984,910,2298,2021,597,349,1203,1702
DEN,Denver Nuggets,1997,19930,636,1711,2298,4976,1516,1992,994,2452,1889,503,487,1359,1784
NJN,New Jersey Nets,1997,19780,484,1371,2510,5720,1502,2031,1410,2376,1726,677,481,1290,1865
LAC,Los Angeles Clippers,1997,19930,474,1339,2515,5357,1517,2074,1092,2242,1662,733,441,1311,1964
SAC,Sacramento Kings,1997,19855,414,1058,2586,5553,1494,2067,1100,2307,1799,588,362,1332,1946
MIN,Minnesota Timberwolves,1997,19780,371,1093,2566,5343,1637,2180,957,2302,1874,618,557,1243,1818
TOR,Toronto Raptors,1997,19830,589,1624,2308,5008,1446,2008,1135,2254,1714,722,517,1347,1883
NYK,New York Knicks,1997,19855,470,1294,2412,4933,1585,2119,973,2516,1809,629,378,1462,2033
IND,Indiana Pacers,1997,19930,430,1130,2421,5124,1687,2336,1029,2390,1750,585,394,1338,1977
MIL,Milwaukee Bucks,1997,19730,324,920,2643,5383,1560,2104,955,2263,1610,632,348,1285,1892
MIA,Miami Heat,1997,19805,678,1865,2144,4370,1454,2022,957,2402,1735,650,439,1306,1919
ATL,Atlanta Hawks,1997,19805,659,1834,2153,4473,1491,1955,1021,2350,1557,701,427,1228,1591
DET,Detroit Pistons,1997,19830,582,1499,2245,4596,1487,1995,858,2292,1554,632,283,1041,1652
ORL,Orlando Magic,1997,19855,567,1662,2272,4835,1474,1975,1071,2221,1689,694,363,1250,1643
DAL,Dallas Mavericks,1997,19805,430,1316,2383,5136,1375,1918,1040,2262,1663,654,351,1324,1798
SAS,San Antonio Spurs,1997,19730,378,1180,2449,5211,1386,1929,1101,2129,1661,646,431,1243,1764
VAN,Vancouver Grizzlies,1997,19780,445,1274,2374,5179,1230,1734,1023,2155,1862,657,464,1301,1755
CLE,Cleveland Cavaliers,1997,19855,483,1284,2221,4688,1282,1773,909,2159,1714,655,315,1188,1882
LAL,Los Angeles Lakers,1998,19830,497,1415,2649,5121,1863,2743,1079,2471,2009,734,556,1256,1859
MIN,Minnesota Timberwolves,1998,19930,303,873,2854,5971,1673,2253,1063,2429,2068,639,427,1138,1882
UTA,Utah Jazz,1998,19780,249,670,2744,5443,2044,2644,962,2405,2070,648,412,1259,1961
SEA,Seattle SuperSonics,1998,19755,621,1569,2431,4889,1521,2109,931,2225,1986,804,376,1145,1812
NJN,New Jersey Nets,1998,19880,310,937,2745,5991,1750,2351,1344,2137,1685,777,314,1180,1917
PHO,Phoenix Suns,1998,19955,431,1211,2707,5499,1459,1948,991,2452,2124,756,429,1236,1765
HOU,Houston Rockets,1998,19830,573,1670,2373,4843,1634,2120,987,2350,1799,686,294,1298,1653
WAS,Washington Wizards,1998,19805,320,944,2760,5867,1489,2156,1121,2341,1900,689,379,1156,1839
CHI,Chicago Bulls,1998,19855,311,962,2753,5839,1492,2009,1243,2438,1952,696,353,1178,1691
CHH,Charlotte Hornets,1998,19780,346,904,2622,5440,1641,2186,985,2341,1941,691,312,1247,1757
VAN,Vancouver Grizzlies,1998,19830,325,898,2681,5669,1586,2145,1081,2313,1960,614,349,1405,1809
IND,Indiana Pacers,1998,19830,401,1029,2520,5194,1631,2136,874,2348,1889,645,368,1168,1859
LAC,Los Angeles Clippers,1998,19780,525,1468,2405,5222,1480,2047,1040,2276,1533,625,456,1323,1827
BOS,Boston Celtics,1998,19730,415,1249,2597,5685,1425,1964,1196,2044,1816,987,366,1330,2203
ATL,Atlanta Hawks,1998,19880,337,1016,2550,5336,1749,2314,1106,2417,1569,653,491,1214,1671
MIA,Miami Heat,1998,19755,548,1544,2302,4783,1539,2082,1028,2419,1758,665,429,1226,1982
TOR,Toronto Raptors,1998,19930,372,1086,2593,5727,1479,2060,1187,2149,1746,769,663,1371,1851
MIL,Milwaukee Bucks,1998,19930,249,703,2669,5696,1663,2167,1035,2236,1649,733,357,1383,1915
POR,Portland Trail Blazers,1998,19830,324,1047,2561,5350,1640,2226,1086,2522,1766,585,464,1383,1859
DET,Detroit Pistons,1998,19955,293,938,2569,5435,1704,2288,1044,2338,1597,678,344,1198,1805
PHI,Philadelphia 76ers,1998,19755,243,810,2594,5599,1734,2352,1125,2294,1729,729,490,1356,1878
SAC,Sacramento Kings,1998,19730,283,806,2674,5878,1440,2096,1094,2304,1836,596,420,1271,1810
SAS,San Antonio Spurs,1998,19830,302,863,2596,5324,1489,2164,984,2638,1839,516,568,1318,1731
CLE,Cleveland Cavaliers,1998,19830,298,801,2519,5406,1653,2187,955,2331,1894,814,419,1421,1939
NYK,New York Knicks,1998,19830,382,1139,2482,5274,1399,1812,978,2434,1787,634,278,1247,1947
DAL,Dallas Mavericks,1998,19905,422,1183,2460,5571,1308,1738,1008,2280,1535,646,466,1183,1643
ORL,Orlando Magic,1998,19830,293,907,2478,5548,1552,2138,1178,2203,1694,649,441,1258,1617
DEN,Denver Nuggets,1998,19730,288,893,2389,5519,1658,2147,1040,2157,1547,664,393,1312,1937
GSW,Golden State Warriors,1998,19830,189,696,2656,6187,1358,1912,1288,2473,1708,621,448,1369,1859
SAC,Sacramento Kings,1999,12200,290,943,1628,3364,883,1293,706,1573,1129,444,232,842,1016
LAL,Los Angeles Lakers,1999,12050,241,685,1600,3250,1027,1503,619,1482,1095,389,287,754,1231
PHO,Phoenix Suns,1999,12050,261,702,1536,3302,924,1215,598,1418,1249,444,200,681,1022
SEA,Seattle SuperSonics,1999,12100,309,899,1447,3077,922,1354,676,1422,1087,393,201,765,1047
POR,Portland Trail Blazers,1999,12175,246,675,1501,3281,1002,1349,646,1570,1073,411,290,771,1126
IND,Indiana Pacers,1999,12100,294,799,1437,3067,977,1228,574,1452,1005,316,223,649,1082
HOU,Houston Rockets,1999,12075,336,914,1419,2884,865,1187,536,1540,1058,386,260,812,960
DEN,Denver Nuggets,1999,12025,302,922,1379,3067,1010,1325,647,1392,969,376,275,739,1145
UTA,Utah Jazz,1999,12175,140,388,1544,3232,1158,1510,555,1508,1204,398,276,814,1133
BOS,Boston Celtics,1999,12150,273,758,1543,3406,745,1077,680,1458,1073,453,255,807,1193
MIN,Minnesota Timberwolves,1999,12025,122,410,1716,3917,849,1143,754,1392,1218,426,272,641,1185
CHH,Charlotte Hornets,1999,12150,268,735,1403,2983,1034,1384,480,1493,1110,443,247,796,1101
SAS,San Antonio Spurs,1999,12075,172,521,1568,3291,988,1415,614,1584,1101,421,351,759,1010
MIL,Milwaukee Bucks,1999,12050,231,619,1522,3199,847,1155,570,1369,1030,442,202,719,1142
DAL,Dallas Mavericks,1999,12075,202,595,1547,3438,881,1210,645,1478,921,352,292,692,1065
NJN,New Jersey Nets,1999,12050,225,679,1466,3481,962,1251,715,1437,923,491,273,750,1134
WAS,Washington Wizards,1999,12050,179,580,1589,3389,845,1198,595,1403,1064,393,193,736,1151
TOR,Toronto Raptors,1999,12075,226,662,1434,3278,1011,1330,712,1447,1036,439,321,799,1139
LAC,Los Angeles Clippers,1999,12125,214,668,1497,3339,883,1225,665,1293,820,424,236,796,1223
DET,Detroit Pistons,1999,12050,248,679,1412,3037,950,1283,605,1412,1009,444,208,790,1139
PHI,Philadelphia 76ers,1999,12150,98,371,1558,3512,1073,1486,729,1428,934,542,271,822,1152
ORL,Orlando Magic,1999,12050,223,675,1464,3268,876,1252,688,1445,1067,496,213,819,935
