id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
SEA,Seattle SuperSonics,1982,19830,38,153,3467,7025,1747,2362,1103,2544,2103,691,460,1351,2057
KCK,Kansas City Kings,1982,19880,26,130,3578,7154,1551,2158,1086,2276,2056,743,402,1507,2359
NJN,New Jersey Nets,1982,19780,30,146,3471,7081,1714,2354,1194,2320,2096,918,481,1650,2295
CHI,Chicago Bulls,1982,19880,54,213,3315,6515,1951,2545,1125,2525,2043,580,483,1636,2008
NYK,New York Knicks,1982,19830,58,214,3465,6964,1603,2171,1168,2273,2075,719,337,1486,2195
PHO,Phoenix Suns,1982,19830,54,174,3454,6966,1635,2157,1123,2517,2223,753,429,1528,2029
HOU,Houston Rockets,1982,19780,50,176,3454,7190,1622,2225,1403,2284,1977,648,430,1321,1871
DAL,Dallas Mavericks,1982,19730,55,190,3335,7034,1740,2366,1213,2228,2117,566,313,1317,2193
WSB,Washington Bullets,1982,19830,59,236,3341,6932,1626,2105,1047,2583,1983,643,397,1390,2072
CLE,Cleveland Cavaliers,1982,19805,25,137,3380,7197,1628,2179,1190,2170,1871,634,357,1319,2193
IND,Indiana Pacers,1982,19830,103,316,3229,6848,1612,2176,1141,2372,1897,753,494,1393,2041
ATL,Atlanta Hawks,1982,19880,28,128,3182,6648,1833,2387,1135,2368,1815,608,485,1343,2268
DEN,Denver Nuggets,1983,19730,24,126,3927,7873,2179,2696,1214,2524,2336,789,352,1496,2091
LAL,Los Angeles Lakers,1983,19730,10,96,3954,7416,1495,2031,1235,2433,2519,844,479,1584,1931
SAS,San Antonio Spurs,1983,19780,94,308,3603,7032,1887,2468,1232,2599,2261,675,469,1504,2095
KCK,Kansas City Kings,1983,19780,51,215,3668,7270,1839,2530,1256,2407,2155,765,409,1691,2432
DAL,Dallas Mavericks,1983,19730,43,185,3631,7365,1852,2462,1296,2381,2227,552,348,1348,2067
DET,Detroit Pistons,1983,19880,72,272,3551,7330,1921,2588,1312,2477,2108,679,572,1557,2122
BOS,Boston Celtics,1983,19830,39,186,3672,7361,1730,2348,1273,2532,2216,789,521,1541,2062
PHI,Philadelphia 76ers,1983,19830,25,109,3575,7103,1966,2650,1334,2596,2016,812,577,1627,2041
CHI,Chicago Bulls,1983,19905,45,209,3492,7164,1983,2690,1267,2527,2086,666,400,1743,2192
SEA,Seattle SuperSonics,1983,19805,29,138,3568,7139,1796,2459,1152,2569,2278,677,437,1533,1969
UTA,Utah Jazz,1983,19755,44,183,3481,7159,1844,2440,1093,2550,2176,758,595,1683,2017
IND,Indiana Pacers,1983,19830,50,236,3657,7487,1447,1910,1299,2294,2150,755,411,1535,2086
GSW,Golden State Warriors,1983,19780,34,150,3593,7358,1620,2199,1281,2284,1964,856,430,1606,2138
SDC,San Diego Clippers,1983,19830,64,262,3561,7372,1589,2195,1394,2108,2087,820,408,1600,2284
POR,Portland Trail Blazers,1983,19755,35,150,3424,6974,1855,2512,1180,2380,2030,749,384,1495,1960
PHO,Phoenix Suns,1983,19730,40,158,3515,7000,1626,2189,1094,2518,2300,749,495,1545,2062
MIL,Milwaukee Bucks,1983,19830,37,169,3449,6964,1731,2299,1095,2477,2116,662,532,1447,2131
NJN,New Jersey Nets,1983,19705,30,149,3480,6991,1622,2301,1266,2427,2143,911,592,1873,2166
ATL,Atlanta Hawks,1983,19780,45,188,3307,6958,1586,2111,1139,2433,1945,573,665,1424,2022
NYK,New York Knicks,1983,19805,33,131,3239,6662,1621,2282,1080,2263,2034,701,378,1509,2180
HOU,Houston Rockets,1983,19730,67,271,3271,7175,1402,1934,1206,2260,1931,646,422,1571,2131
WSB,Washington Bullets,1983,19805,70,237,3236,6822,1452,2059,1099,2430,2046,733,400,1588,1958
CLE,Cleveland Cavaliers,1983,19755,30,120,3222,6875,1430,1983,1173,2414,1738,617,290,1538,2236
DEN,Denver Nuggets,1984,19805,77,255,3858,7728,2200,2690,1133,2444,2482,711,352,1344,2279
SAS,San Antonio Spurs,1984,19980,79,263,3830,7458,1965,2604,1230,2528,2361,685,491,1447,2146
DET,Detroit Pistons,1984,19905,32,141,3766,7769,1974,2547,1427,2434,2256,697,417,1310,2177
LAL,Los Angeles Lakers,1984,19780,58,226,3796,7024,1712,2272,1095,2499,2455,726,478,1578,2054
UTA,Utah Jazz,1984,19780,101,317,3505,6925,2115,2708,1096,2522,2230,695,604,1510,1978
POR,Portland Trail Blazers,1984,19805,25,129,3607,7060,1988,2637,1251,2194,2082,814,397,1483,2134
BOS,Boston Celtics,1984,19955,55,229,3561,7006,1907,2407,1159,2538,2122,673,430,1420,1949
PHO,Phoenix Suns,1984,19780,74,291,3603,6929,1673,2204,1066,2298,2214,693,388,1451,2147
SDC,San Diego Clippers,1984,19730,24,128,3610,7197,1785,2424,1307,2382,1981,567,385,1515,2020
HOU,Houston Rockets,1984,19755,30,154,3699,7379,1583,2139,1200,2483,2204,621,515,1562,2317
DAL,Dallas Mavericks,1984,19955,42,184,3576,7051,1774,2350,1090,2265,2164,579,360,1303,1906
KCK,Kansas City Kings,1984,19755,52,189,3464,7041,1939,2495,1144,2273,2229,715,383,1504,2200
NJN,New Jersey Nets,1984,19805,49,232,3565,7026,1742,2488,1221,2313,2148,814,499,1608,2243
GSW,Golden State Warriors,1984,19830,55,226,3464,7308,1915,2577,1390,2171,1837,830,348,1518,2108
SEA,Seattle SuperSonics,1984,19780,27,140,3433,6943,1918,2460,1064,2332,2233,636,350,1360,1884
PHI,Philadelphia 76ers,1984,19955,29,107,3355,6726,2041,2706,1181,2382,2032,807,653,1628,2040
NYK,New York Knicks,1984,19855,47,165,3339,6672,1944,2510,1088,2230,2041,803,360,1587,2281
MIL,Milwaukee Bucks,1984,19905,59,232,3373,6738,1743,2354,1135,2385,2113,642,489,1415,2167
IND,Indiana Pacers,1984,19780,48,207,3399,6923,1624,2119,1002,2398,2169,834,398,1525,2061
CHI,Chicago Bulls,1984,19980,20,117,3285,6855,1871,2508,1141,2300,2095,687,454,1578,2196
WSB,Washington Bullets,1984,19905,71,282,3273,6625,1664,2201,1027,2387,2192,556,320,1448,1989
CLE,Cleveland Cavaliers,1984,19855,43,164,3319,7068,1619,2178,1213,2388,1930,630,375,1332,2206
ATL,Atlanta Hawks,1984,19855,23,106,3207,6703,1838,2414,1112,2232,1827,626,558,1329,2091
DEN,Denver Nuggets,1985,19830,73,235,3803,7741,2016,2568,1331,2303,2266,894,424,1382,2152
LAL,Los Angeles Lakers,1985,19755,90,295,3862,6959,1702,2232,1063,2550,2575,695,481,1537,1931
DET,Detroit Pistons,1985,19830,45,199,3795,7800,1783,2262,1403,2534,2302,691,397,1341,2076
POR,Portland Trail Blazers,1985,19880,51,202,3657,7172,2002,2667,1202,2298,2225,821,516,1481,1957
KCK,Kansas City Kings,1985,19755,63,238,3601,7037,2022,2595,1167,2327,2342,661,300,1593,2169
BOS,Boston Celtics,1985,19705,110,309,3611,7016,1860,2307,1116,2630,2287,645,414,1332,1781
